epoch,train_loss,train_pr_auc,train_roc_auc,valid_loss,valid_pr_auc,valid_roc_auc
1,0.357440619198717,0.4168342016495368,0.8140792290737164,0.35904760855698936,0.4040444537525782,0.7985230182836043
2,0.15159026005916845,0.7175230811276717,0.9608140163818223,0.14847884682294366,0.639452708065351,0.9556151112699264
3,0.14954379557101166,0.7351387891896899,0.9660196831089886,0.1504936976649255,0.6747559507212063,0.9571953228912313
4,0.14650836824537752,0.7399318171168489,0.9684048988348878,0.14785345895427252,0.6752931102649783,0.9630992793758562
5,0.14381914365243995,0.7419029706004889,0.9683264300684368,0.14752526988134843,0.6710795368524,0.9601214936573165
6,0.14166513866974978,0.7482833244861649,0.9704495113535907,0.1464996579014889,0.6812024073965769,0.9627856192801699
7,0.1400663587309875,0.7494579817427462,0.9705315017332656,0.14701029004775315,0.6855644884736228,0.9650368252833859
8,0.1369058955535165,0.7608173740250194,0.9722256685873003,0.14414110162030552,0.694053313836137,0.965120203283505
9,0.13333864365127926,0.7721906325888263,0.9731188941773286,0.14382780613862625,0.6997959452222733,0.9657634049987096
10,0.1332782112907765,0.7848537479874669,0.9740684655789396,0.14403084903279037,0.7056438179827531,0.9671173049054057
11,0.1318989852693036,0.7937559749183185,0.9749748746441138,0.1451138750275719,0.7048442561016787,0.9664066067139142
12,0.12739487595460922,0.80670075384577,0.9767174411055337,0.14083827530669274,0.7258770913195907,0.9687372203362912
13,0.12822134779204114,0.8060998440717763,0.9763464978459465,0.15028263772719694,0.7319162135114643,0.9668632005240902
14,0.12519815490627317,0.8270442208581495,0.9788379940529887,0.14532600150248395,0.7298661011750895,0.9681932781450379
15,0.12222230642676965,0.8325375849199675,0.9798726259586239,0.1428337150286928,0.7419658273931506,0.9691779326226352
16,0.1144658455245847,0.8525554809584622,0.982100633258296,0.14035710842610996,0.7595486764860157,0.9703134615766383
17,0.11434499164581027,0.862559452988958,0.9830173362698169,0.14083550165149972,0.7610138523919215,0.9704127211005896
18,0.11594519086279872,0.8667657872747412,0.9836589922587717,0.1494676547152337,0.7629112124952957,0.9700831794810713
19,0.10644983325134463,0.8818187065663253,0.9849993724304639,0.14524951275781253,0.7779623760111161,0.9709090187203461
20,0.10581769438059889,0.8746333172003977,0.9845673878749953,0.15160890697477974,0.7870989964193109,0.9710757747205844
21,0.10066928048084207,0.8973270061544164,0.9868707035189946,0.1491640442920145,0.7921230788300305,0.9714529609115995
22,0.09667952532980419,0.8997595212757399,0.9873218312027573,0.15028695069820444,0.7786699384201698,0.9714847239592639
23,0.10443178887324407,0.9076980759506272,0.988315648514105,0.15447230331689238,0.7640893886508112,0.9712504714827388
24,0.09706658703799392,0.9067000664438858,0.9879860616354552,0.1478695727496822,0.7850943768714428,0.9716316280547118
25,0.09004822792883811,0.9190094720395472,0.9898182034896479,0.15970802030592002,0.7787206134858773,0.9695015186707165
26,0.08694980390416644,0.9235325867189094,0.9903244128161438,0.153396099835674,0.7906782198369671,0.9719810215790204
27,0.07974159422596726,0.935851267037623,0.9917926546371971,0.171038370455139,0.789125810710557,0.9703055208147221
28,0.0805798718504952,0.9385774690764219,0.9921135729294495,0.15793636756562424,0.7819987888178749,0.9710995970063327
29,0.07800353583239585,0.9390934319112687,0.9922703298668016,0.17083056560544688,0.7695798782714186,0.969388362813412
30,0.07513904219192569,0.9498961340510226,0.9933976072895588,0.1742095063740166,0.7787065494803773,0.970436543386338
31,0.08312825713661556,0.9542313927467047,0.9939505908634905,0.18056623138318234,0.7546220986671764,0.9679074107160582
32,0.07383443990640483,0.9451115857087126,0.9928077822234384,0.19827693625190387,0.7587507941235495,0.9655331229031426
33,0.07281720426190735,0.9578024592537374,0.994409122964801,0.172763053372562,0.7448576106955405,0.9674786095725885
34,0.06518845669223931,0.9634087048285095,0.9952169268597053,0.1806750749753855,0.7375314442878023,0.9654656264268557
35,0.06129226625535193,0.965911247650443,0.9956205579138324,0.18979964993187837,0.7656400948825633,0.9659897167133187
36,0.056821823475007936,0.9731819912508158,0.996404342600594,0.20144364703322284,0.7528883298052976,0.9642109860441109
37,0.05696755814266694,0.9727302177195997,0.9963642503885062,0.20074228214246728,0.7355433923367789,0.9669386377622933
38,0.06236504079509448,0.9722436589348993,0.996308988150223,0.2250948042990528,0.7561867288205353,0.9639687928056697
39,0.05296832003460159,0.9803637181667797,0.997278425062328,0.20274358619755514,0.741355641333025,0.9646516983304549
40,0.05184081865764657,0.9772681239994383,0.9969295144598341,0.19521963600322942,0.7775034370685708,0.9671133345244477
