epoch,train_loss,train_pr_auc,train_roc_auc,valid_loss,valid_pr_auc,valid_roc_auc
1,0.3414472970225372,0.4899753546011824,0.8987718599625987,0.3404976498380363,0.48862332271085146,0.8950985647072837
2,0.1529080674723768,0.71726378393894,0.9608299087902176,0.15281767636855867,0.6568603541500695,0.949369702022909
3,0.14996997474417031,0.7264893179070082,0.9629983195584078,0.15037462181935163,0.682974817003122,0.9522641097413296
4,0.14777829328045053,0.7153481522526156,0.9641979254989177,0.1495674650703317,0.6746284065658045,0.9554523256506462
5,0.144084282941942,0.7349385166001609,0.9688669525494222,0.14576255493313672,0.7007355842338536,0.9648819804260219
6,0.14323525553642513,0.7440028567338036,0.969545269435016,0.1481537691084979,0.7056455557818188,0.9655966489984714
7,0.1402322606986343,0.7547654470800843,0.9707800012099902,0.1445070351455336,0.7067510101289206,0.9661961765231374
8,0.13679520158480726,0.76965476441384,0.9729303524231859,0.14291886238254436,0.7137494063114179,0.9681654854783317
9,0.13446088864999842,0.7784134388323861,0.9738512091323558,0.14174074051934027,0.7137093280716431,0.9685109086216823
10,0.13039775179136975,0.7945752022788073,0.9754644691800151,0.13990258647300532,0.7334106452550657,0.9697020229090981
11,0.132401715222421,0.8069305662990255,0.9767849838412132,0.144372530530228,0.747390203527434,0.9712544418636967
12,0.12645115595389556,0.8130713511245268,0.9781765628513146,0.148361718354222,0.7427810620998591,0.9684592936692276
13,0.12330196388129568,0.8208159498064723,0.9790237365761071,0.14321225281750088,0.7453410934835779,0.9690429396700614
14,0.12002223860993089,0.8340462953044879,0.9802491676802592,0.14886402656064332,0.7646138218683808,0.971715006054831
15,0.11977422476681858,0.8393819599746857,0.9810004451680305,0.14131309517792293,0.757942897312554,0.970734321958192
16,0.11316146823554737,0.8500269003105774,0.982405839737703,0.14795039910499816,0.7786244410935222,0.9668314374764259
17,0.11184271190398364,0.855197586033366,0.9827393997184516,0.15831342077899838,0.7766401944156407,0.9656482639509261
18,0.1069716287386873,0.8580149261769447,0.9837137127104052,0.16080944556419616,0.7769029978683452,0.9630238421376531
19,0.10574340396568697,0.8665927459089249,0.9840698471348969,0.14377466793133514,0.7987789013070508,0.9715164870069283
20,0.10275708573737011,0.8756350343518533,0.9853314876468128,0.15992699105924216,0.7704378756036205,0.9662001469040954
